trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
221,False,"{'a': 0.75, 'e': 0.7789999999999998}",25,0,-176.4941948148177,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
222,False,"{'a': 0.75, 'e': 0.7779999999999998}",30,0,-75.51668861976978,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
223,False,"{'a': 0.75, 'e': 0.7769999999999998}",20,0,-6.552083916801951,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
224,False,"{'a': 0.75, 'e': 0.7759999999999998}",25,17,10.95607275836542,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.75, 'e': 0.7749999999999998}",25,13,-66.25996565837374,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
226,False,"{'a': 0.75, 'e': 0.7739999999999998}",30,16,20.535359733347196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.75, 'e': 0.7729999999999998}",20,0,-60.312714646434955,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
228,False,"{'a': 0.75, 'e': 0.7719999999999998}",25,13,-85.3743073125328,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 1}",1
229,False,"{'a': 0.75, 'e': 0.7709999999999998}",25,0,-126.7009183668774,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
230,False,"{'a': 0.75, 'e': 0.7699999999999998}",30,0,-121.16821546153653,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
231,False,"{'a': 0.75, 'e': 0.7689999999999998}",30,22,-71.24512786185781,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
232,False,"{'a': 0.75, 'e': 0.7679999999999998}",20,0,-66.87023534290121,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
233,False,"{'a': 0.75, 'e': 0.7669999999999998}",30,0,-12.36846600361168,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
234,False,"{'a': 0.75, 'e': 0.7659999999999998}",30,0,-166.1717929191458,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
235,False,"{'a': 0.75, 'e': 0.7649999999999998}",25,0,-2.0166717646407726,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
236,False,"{'a': 0.75, 'e': 0.7639999999999998}",25,0,-104.65761224940921,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
237,False,"{'a': 0.75, 'e': 0.7629999999999998}",35,6,-75.2868139728534,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 1}",1
238,False,"{'a': 0.75, 'e': 0.7619999999999998}",25,0,-112.27584995938291,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
239,False,"{'a': 0.75, 'e': 0.7609999999999998}",20,0,-116.15587836607864,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
240,False,"{'a': 0.75, 'e': 0.7599999999999998}",20,0,1.3898055112554708,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
241,False,"{'a': 0.75, 'e': 0.7589999999999998}",20,0,-84.968334406835,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",1
242,False,"{'a': 0.75, 'e': 0.7579999999999998}",25,0,-52.238942163312394,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
243,False,"{'a': 0.75, 'e': 0.7569999999999998}",20,0,-35.318903898617265,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
244,False,"{'a': 0.75, 'e': 0.7559999999999998}",20,5,-47.61620077168138,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
245,False,"{'a': 0.75, 'e': 0.7549999999999998}",20,2,-20.547550495101284,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
246,False,"{'a': 0.75, 'e': 0.7539999999999998}",20,0,-157.09575607853282,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
247,False,"{'a': 0.75, 'e': 0.7529999999999998}",20,0,-81.08060349667906,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
248,False,"{'a': 0.75, 'e': 0.7519999999999998}",30,17,-7.917191093868541,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
249,False,"{'a': 0.75, 'e': 0.7509999999999998}",30,16,-51.545545490868676,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
250,False,"{'a': 0.75, 'e': 0.7499999999999998}",30,0,-81.64279198144149,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
251,False,"{'a': 0.75, 'e': 0.7489999999999998}",20,0,-47.24775830465856,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
252,False,"{'a': 0.75, 'e': 0.7479999999999998}",20,6,-2.4962226790912787,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.75, 'e': 0.7469999999999998}",20,0,-10.282052206398863,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
254,False,"{'a': 0.75, 'e': 0.7459999999999998}",25,0,-117.51114585319561,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
255,False,"{'a': 0.75, 'e': 0.7449999999999998}",25,1,-221.095128774396,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 5}",1
256,False,"{'a': 0.75, 'e': 0.7439999999999998}",25,0,-69.5825353502163,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
